LocationType,Location_Name,StNumber,StNumberFraction,StDirection,StName,StSuffix,StSuffixDirection,AddressType,AddressTypeValue,CrossStDirection,CrossStName,CrossStSuffix,CrossStSuffixDirection,City,State,Zip,Website,Phone,CouncilDistrict,X,Y
Parks,La Mirada Park Acquisition Site,5401,,W,La Mirada,Ave,,,,,,,,"Los Angeles, CA 90029
(34.0942, -118.307)",CA,90029,,(310) 548-7675,13,34.094208,-118.306999
Gardens,Drew St,3304,,N,Drew,St,,,,,,,,"Los Angeles, CA 90065
(34.12, -118.243)",CA,90065,,(213) 485-5572,13,34.119958,-118.242682
Parks,Avalon-San Pedro Park,4025,,,Avalon,Blvd,,,,,,,,"Los Angeles, CA 90011
(34.0104, -118.266)",CA,90011,,(310) 548-7675,9,34.010389,-118.265542
Parks,11th Avenue Park,6116,,,11th,Ave,,,,,,,,"Los Angeles, CA 90043
(33.9845, -118.329)",CA,90043,,(310) 548-7675,8,33.984488,-118.329232
Gardens,El Sereno Community Garden,5450,,E,Huntington,Dr,,,,,,,,"Los Angeles, CA 90032
(34.0923, -118.162)",CA,90032,,(213) 485-5572,14,34.092346,-118.161574
Outdoor Fitness Equipment,Gage and Avalon Pocket Park,6301,,S,Avalon,Blvd,,,,,,,,"Los Angeles, CA 90003
(33.9822, -118.265)",CA,90003,,,9,33.982212,-118.265352
Dog Parks,Hermon / Arroyo Seco Dog Park,5566,,,Via Marisol,,,,,,,,,"Los Angeles, CA 90042
(34.1074, -118.185)",CA,90042,http://laparks.org/dos/parks/facility/dogparks/HermonDogPk.htm,(213) 485-5054,14,34.107407,-118.185319
Parks,Imperial Courts Park,2250,,E,114th,St,,,,,,,,"Los Angeles, CA 90059
(33.9313, -118.232)",CA,90059,http://www.laparks.org/dos/reccenter/facility/imperialcourtsRC.htm,(323) 564-1834,15,33.93125654,-118.2324199
Public Computer Centers,Wabash Recreation Center - Public Computer Center,2765,,,Wabash,Ave,,,,,,,,"Los Angeles, CA 90033
(34.0507, -118.198)",CA,90033,http://www.laparks.org/btop/lynda.htm,(323) 262-6534,14,34.05070789,-118.1981928
Tennis Courts,Griffith Park - Vermont Canyon Tennis Courts,2715,,,Vermont,Cyn,,,,,,,,"Los Angeles, CA 90027
(34.121, -118.294)",CA,90027,http://www.laparks.org/dos/sports/tennis/facility/vermontcynTC.htm,(323) 664-3521,4,34.121019,-118.293574
Recreation Centers,James Slauson Recreation Center,5306,,S,Compton,Ave,,,,,,,,"Los Angeles, CA 90011
(33.9942, -118.248)",CA,90011,http://www.laparks.org/dos/reccenter/facility/slausonMC.htm,(323) 233-1174,9,33.994156,-118.247682
Outdoor Fitness Equipment,105th Street Pocket Park,609,,W,105th,St,,,,,,,,"Los Angeles, CA 90044
(33.9409, -118.285)",CA,90044,,(310) 548-7675,8,33.940919,-118.285253
Lakes,Echo Park Lake,751,,,Echo Park,Ave,,,,,,,,"Los Angeles, CA 90026
(34.0724, -118.26)",CA,90026,http://www.laparks.org/dos/aquatic/facility/echoPkLake.htm,(213) 847-8524,13,34.07240833,-118.2600257
Parks,Eagle Rock Hillside Park,,,,N. of Ventura Freeway,,,,,,S. of Valle Vista,,,"Los Angeles, CA 90041
(34.149, -118.202)",CA,90041,http://www.laparks.org/dos/parks/facility/eagleRockHillsidePk.htm,(213) 485-5054,14,34.149007,-118.202226
Parks,Griffith Park - Shane's Inspiration Park,4730,,,Crystal Springs,Dr,,,,,,,,"Los Angeles, CA 90027
(34.1351, -118.285)",CA,90027,http://www.laparks.org/dos/playground/facility/griffithUAPk.htm,(323) 913-4688,4,34.135083,-118.284647
Outdoor Fitness Equipment,Saint Andrews Recreation Center,8701,,,Saint Andrews,Pl,,,,,,,,"Los Angeles, CA 90047
(33.9588, -118.311)",CA,90047,http://www.laparks.org/dos/reccenter/facility/StAndrewsRC.htm,(213) 485-1751,8,33.95882144,-118.3112791
Parks,Seily Rodriguez Park,5707,,,Lexington,Ave,,,,,,,,"Los Angeles, CA 90038
(34.0929, -118.314)",CA,90038,http://www.laparks.org/dos/parks/facility/seilyRodriguezPk.htm,(213) 847-3601,13,34.092917,-118.313975
Outdoor Fitness Equipment,Glassell Park,3650,,,Verdugo,Rd,,,,,,,,"Los Angeles, CA 90065
(34.1167, -118.233)",CA,90065,http://www.laparks.org/dos/parks/facility/glassellPk.htm,(323) 257-1863,1,34.11673874,-118.2331726
Outdoor Fitness Equipment,Gladys Jean Wesson Park,2508,,S,West,Blvd,,,,,,,,"Los Angeles, CA 90016
(34.0338, -118.34)",CA,90016,,,10,34.033847,-118.340309
Parks,Elysian Park -  Avenue of the Palms,,,,Stadium,Way,,,,,,,,"Los Angeles, CA 90012
(34.0795, -118.249)",CA,90012,,(213) 485-5054,13,34.079493,-118.249133
Outdoor Fitness Equipment,Watts Community Park,11300,,S,Monitor,,,,,,,,,"Los Angeles, CA 90059
(33.932, -118.24)",CA,90059,,(310) 548-7675,15,33.932023,-118.240098
Parks,Watts Community Park,11300,,S,Monitor,,,,,,,,,"Los Angeles, CA 90059
(33.932, -118.24)",CA,90059,,(310) 548-7675,15,33.932023,-118.240098
Recreation Centers,Barrington Recreation Center,333,,S,Barrington,Ave,,,,,,,,"Los Angeles, CA 90049
(34.0614, -118.469)",CA,90049,http://www.laparks.org/dos/reccenter/facility/barringtonRC.htm,(310) 476-4866,11,34.06137723,-118.4686951
Recreation Centers,Cheviot Hills Recreation Center,2551,,,Motor,Ave,,,,,,,,"Los Angeles, CA 90064
(34.0469, -118.408)",CA,90064,http://www.laparks.org/dos/reccenter/facility/cheviotHillsRC.htm,(310) 837-5186,5,34.046898,-118.408263
Parks,Julian C. Dixon Ave. Park / 48th Street Park,4800,,S,Hoover,St,,,,,,,,"Los Angeles, CA 90037
(33.9994, -118.287)",CA,90037,http://www.laparks.org/dos/parks/facility/48thStreetPk.htm,(323) 233-4772,9,33.99941769,-118.2869822
Tennis Courts,Algin Sutton Tennis Courts,8800,,S,Hoover,St,,,,,,,,"Los Angeles, CA 90044
(33.9578, -118.286)",CA,90044,http://www.laparks.org/dos/reccenter/facility/alginSuttonRC.htm,(323) 753-5808,8,33.957778,-118.285546
Recreation Centers,Rancho Cienega Sports Complex,5001,,,Rodeo,Rd,,,,,,,,"Los Angeles, CA 90016
(34.0222, -118.352)",CA,90016,http://www.laparks.org/dos/reccenter/facility/ranchocienegaRC.htm,(323) 290-2663,10,34.022242,-118.351645
