geoid,name,B19013001,"B19013001, Error"
14000US06037101110,"Census Tract 1011.10, Los Angeles, CA",63534,16806
14000US06037101122,"Census Tract 1011.22, Los Angeles, CA",90389,9796
14000US06037101210,"Census Tract 1012.10, Los Angeles, CA",44083,9483
14000US06037101220,"Census Tract 1012.20, Los Angeles, CA",43713,4639
14000US06037101300,"Census Tract 1013, Los Angeles, CA",81776,11857
14000US06037101400,"Census Tract 1014, Los Angeles, CA",75139,27397
14000US06037102103,"Census Tract 1021.03, Los Angeles, CA",76833,8001
14000US06037102104,"Census Tract 1021.04, Los Angeles, CA",80789,19810
14000US06037102105,"Census Tract 1021.05, Los Angeles, CA",57614,24013
14000US06037102107,"Census Tract 1021.07, Los Angeles, CA",109375,16677
14000US06037103101,"Census Tract 1031.01, Los Angeles, CA",99875,17773
14000US06037103102,"Census Tract 1031.02, Los Angeles, CA",75276,7472
14000US06037103200,"Census Tract 1032, Los Angeles, CA",84286,27588
14000US06037103300,"Census Tract 1033, Los Angeles, CA",105909,38437
14000US06037103400,"Census Tract 1034, Los Angeles, CA",89926,23543
14000US06037104103,"Census Tract 1041.03, Los Angeles, CA",97543,40104
14000US06037104105,"Census Tract 1041.05, Los Angeles, CA",54960,9370
14000US06037104108,"Census Tract 1041.08, Los Angeles, CA",51875,8807
14000US06037104124,"Census Tract 1041.24, Los Angeles, CA",77885,13046
14000US06037104201,"Census Tract 1042.01, Los Angeles, CA",60129,10223
14000US06037104203,"Census Tract 1042.03, Los Angeles, CA",49609,11898
14000US06037104204,"Census Tract 1042.04, Los Angeles, CA",59000,17579
14000US06037104310,"Census Tract 1043.10, Los Angeles, CA",74940,13087
14000US06037104320,"Census Tract 1043.20, Los Angeles, CA",56021,4136
14000US06037104401,"Census Tract 1044.01, Los Angeles, CA",69000,18732
14000US06037104403,"Census Tract 1044.03, Los Angeles, CA",60804,20306
14000US06037104404,"Census Tract 1044.04, Los Angeles, CA",56974,11673
14000US06037104500,"Census Tract 1045, Los Angeles, CA",64229,11735
14000US06037104610,"Census Tract 1046.10, Los Angeles, CA",61359,6411
14000US06037104620,"Census Tract 1046.20, Los Angeles, CA",64648,5641
14000US06037104701,"Census Tract 1047.01, Los Angeles, CA",35357,6270
14000US06037104703,"Census Tract 1047.03, Los Angeles, CA",41875,14155
14000US06037104704,"Census Tract 1047.04, Los Angeles, CA",43338,4949
14000US06037104810,"Census Tract 1048.10, Los Angeles, CA",74149,6780
14000US06037104821,"Census Tract 1048.21, Los Angeles, CA",70231,16006
14000US06037104822,"Census Tract 1048.22, Los Angeles, CA",60515,15613
14000US06037106010,"Census Tract 1060.10, Los Angeles, CA",89946,11880
14000US06037106020,"Census Tract 1060.20, Los Angeles, CA",79703,19811
14000US06037106111,"Census Tract 1061.11, Los Angeles, CA",95288,17929
14000US06037106112,"Census Tract 1061.12, Los Angeles, CA",95625,10484
14000US06037106113,"Census Tract 1061.13, Los Angeles, CA",96667,18643
14000US06037106114,"Census Tract 1061.14, Los Angeles, CA",58194,10061
14000US06037106403,"Census Tract 1064.03, Los Angeles, CA",72604,11794
14000US06037106405,"Census Tract 1064.05, Los Angeles, CA",59352,9915
14000US06037106406,"Census Tract 1064.06, Los Angeles, CA",85115,7757
14000US06037106407,"Census Tract 1064.07, Los Angeles, CA",34327,11980
14000US06037106408,"Census Tract 1064.08, Los Angeles, CA",60199,13377
14000US06037106510,"Census Tract 1065.10, Los Angeles, CA",85521,26927
14000US06037106520,"Census Tract 1065.20, Los Angeles, CA",63924,7795
14000US06037106603,"Census Tract 1066.03, Los Angeles, CA",112404,11166
14000US06037106604,"Census Tract 1066.04, Los Angeles, CA",60350,7074
14000US06037106641,"Census Tract 1066.41, Los Angeles, CA",110357,13551
14000US06037106642,"Census Tract 1066.42, Los Angeles, CA",109063,14678
14000US06037106643,"Census Tract 1066.43, Los Angeles, CA",164125,19513
14000US06037106645,"Census Tract 1066.45, Los Angeles, CA",113940,12063
14000US06037106646,"Census Tract 1066.46, Los Angeles, CA",110734,5738
14000US06037106648,"Census Tract 1066.48, Los Angeles, CA",68426,9815
14000US06037106649,"Census Tract 1066.49, Los Angeles, CA",87039,15593
14000US06037107010,"Census Tract 1070.10, Los Angeles, CA",69934,9952
14000US06037107020,"Census Tract 1070.20, Los Angeles, CA",84289,10352
14000US06037108101,"Census Tract 1081.01, Los Angeles, CA",121563,23994
14000US06037108102,"Census Tract 1081.02, Los Angeles, CA",100938,24626
14000US06037108103,"Census Tract 1081.03, Los Angeles, CA",146932,26285
14000US06037108104,"Census Tract 1081.04, Los Angeles, CA",152321,18571
14000US06037108201,"Census Tract 1082.01, Los Angeles, CA",129688,12399
14000US06037108202,"Census Tract 1082.02, Los Angeles, CA",97188,43930
14000US06037109100,"Census Tract 1091, Los Angeles, CA",67750,23269
14000US06037109200,"Census Tract 1092, Los Angeles, CA",117857,6216
14000US06037109300,"Census Tract 1093, Los Angeles, CA",86316,7829
14000US06037109400,"Census Tract 1094, Los Angeles, CA",82215,9679
14000US06037109500,"Census Tract 1095, Los Angeles, CA",33387,12815
14000US06037109601,"Census Tract 1096.01, Los Angeles, CA",93778,8664
14000US06037109603,"Census Tract 1096.03, Los Angeles, CA",56970,15640
14000US06037109604,"Census Tract 1096.04, Los Angeles, CA",92500,19997
14000US06037109700,"Census Tract 1097, Los Angeles, CA",101709,8063
14000US06037109800,"Census Tract 1098, Los Angeles, CA",92356,21749
14000US06037111100,"Census Tract 1111, Los Angeles, CA",91648,8321
14000US06037111201,"Census Tract 1112.01, Los Angeles, CA",90341,22702
14000US06037111202,"Census Tract 1112.02, Los Angeles, CA",84240,10268
14000US06037111204,"Census Tract 1112.04, Los Angeles, CA",154038,20918
14000US06037111205,"Census Tract 1112.05, Los Angeles, CA",77351,15708
14000US06037111206,"Census Tract 1112.06, Los Angeles, CA",114275,25635
14000US06037111301,"Census Tract 1113.01, Los Angeles, CA",66861,15466
14000US06037111302,"Census Tract 1113.02, Los Angeles, CA",62865,15358
14000US06037111400,"Census Tract 1114, Los Angeles, CA",61467,5880
14000US06037113101,"Census Tract 1131.01, Los Angeles, CA",106000,16414
14000US06037113102,"Census Tract 1131.02, Los Angeles, CA",163021,24636
14000US06037113211,"Census Tract 1132.11, Los Angeles, CA",91094,5602
14000US06037113212,"Census Tract 1132.12, Los Angeles, CA",84429,15294
14000US06037113213,"Census Tract 1132.13, Los Angeles, CA",91544,10035
14000US06037113231,"Census Tract 1132.31, Los Angeles, CA",112500,16837
14000US06037113232,"Census Tract 1132.32, Los Angeles, CA",113079,12646
14000US06037113233,"Census Tract 1132.33, Los Angeles, CA",46474,5578
14000US06037113234,"Census Tract 1132.34, Los Angeles, CA",59598,5323
14000US06037113235,"Census Tract 1132.35, Los Angeles, CA",89792,16726
14000US06037113237,"Census Tract 1132.37, Los Angeles, CA",82024,11812
14000US06037113301,"Census Tract 1133.01, Los Angeles, CA",66793,10945
14000US06037113303,"Census Tract 1133.03, Los Angeles, CA",93656,11664
14000US06037113321,"Census Tract 1133.21, Los Angeles, CA",76897,16046
14000US06037113322,"Census Tract 1133.22, Los Angeles, CA",94983,13287
14000US06037113401,"Census Tract 1134.01, Los Angeles, CA",86101,12085
14000US06037113421,"Census Tract 1134.21, Los Angeles, CA",65060,8613
14000US06037113422,"Census Tract 1134.22, Los Angeles, CA",75109,10197
14000US06037115101,"Census Tract 1151.01, Los Angeles, CA",141711,22945
14000US06037115103,"Census Tract 1151.03, Los Angeles, CA",43958,16906
14000US06037115104,"Census Tract 1151.04, Los Angeles, CA",54861,8965
14000US06037115201,"Census Tract 1152.01, Los Angeles, CA",65208,14442
14000US06037115202,"Census Tract 1152.02, Los Angeles, CA",65125,13402
14000US06037115301,"Census Tract 1153.01, Los Angeles, CA",94279,20089
14000US06037115302,"Census Tract 1153.02, Los Angeles, CA",45549,5111
14000US06037115401,"Census Tract 1154.01, Los Angeles, CA",71646,10863
14000US06037115403,"Census Tract 1154.03, Los Angeles, CA",54407,5828
14000US06037115404,"Census Tract 1154.04, Los Angeles, CA",66136,10633
14000US06037117101,"Census Tract 1171.01, Los Angeles, CA",90750,13801
14000US06037117102,"Census Tract 1171.02, Los Angeles, CA",69500,15098
14000US06037117201,"Census Tract 1172.01, Los Angeles, CA",61335,12685
14000US06037117202,"Census Tract 1172.02, Los Angeles, CA",100326,15225
14000US06037117301,"Census Tract 1173.01, Los Angeles, CA",97634,17795
14000US06037117302,"Census Tract 1173.02, Los Angeles, CA",102917,9555
14000US06037117303,"Census Tract 1173.03, Los Angeles, CA",83931,14811
14000US06037117404,"Census Tract 1174.04, Los Angeles, CA",107981,18036
14000US06037117405,"Census Tract 1174.05, Los Angeles, CA",36538,7081
14000US06037117407,"Census Tract 1174.07, Los Angeles, CA",33480,6180
14000US06037117408,"Census Tract 1174.08, Los Angeles, CA",36250,5369
14000US06037117510,"Census Tract 1175.10, Los Angeles, CA",46838,8608
14000US06037117520,"Census Tract 1175.20, Los Angeles, CA",36003,3512
14000US06037117530,"Census Tract 1175.30, Los Angeles, CA",55483,5843
14000US06037119001,"Census Tract 1190.01, Los Angeles, CA",85758,8043
14000US06037119002,"Census Tract 1190.02, Los Angeles, CA",80664,6977
14000US06037119201,"Census Tract 1192.01, Los Angeles, CA",91111,6005
14000US06037119202,"Census Tract 1192.02, Los Angeles, CA",67500,14854
14000US06037119310,"Census Tract 1193.10, Los Angeles, CA",47959,7471
14000US06037119320,"Census Tract 1193.20, Los Angeles, CA",72813,18384
14000US06037119340,"Census Tract 1193.40, Los Angeles, CA",30817,5234
14000US06037119341,"Census Tract 1193.41, Los Angeles, CA",51083,8755
14000US06037119342,"Census Tract 1193.42, Los Angeles, CA",58611,9596
14000US06037119400,"Census Tract 1194, Los Angeles, CA",83333,10764
14000US06037119700,"Census Tract 1197, Los Angeles, CA",81688,13001
14000US06037119800,"Census Tract 1198, Los Angeles, CA",82981,13843
14000US06037119900,"Census Tract 1199, Los Angeles, CA",78000,14084
14000US06037120010,"Census Tract 1200.10, Los Angeles, CA",49432,12269
