LocationType,Location_Name,StNumber,StNumberFraction,StDirection,StName,StSuffix,StSuffixDirection,AddressType,AddressTypeValue,CrossStDirection,CrossStName,CrossStSuffix,CrossStSuffixDirection,City,State,Zip,Website,Phone,CouncilDistrict,X,Y
Parks,La Mirada Park Acquisition Site,5401,,W,La Mirada,Ave,,,,,,,,"Los Angeles, CA 90029
(34.0942, -118.307)",CA,90029,,(310) 548-7675,13,34.094208,-118.306999
Parks,Avalon-San Pedro Park,4025,,,Avalon,Blvd,,,,,,,,"Los Angeles, CA 90011
(34.0104, -118.266)",CA,90011,,(310) 548-7675,9,34.010389,-118.265542
Parks,11th Avenue Park,6116,,,11th,Ave,,,,,,,,"Los Angeles, CA 90043
(33.9845, -118.329)",CA,90043,,(310) 548-7675,8,33.984488,-118.329232
Parks,Imperial Courts Park,2250,,E,114th,St,,,,,,,,"Los Angeles, CA 90059
(33.9313, -118.232)",CA,90059,http://www.laparks.org/dos/reccenter/facility/imperialcourtsRC.htm,(323) 564-1834,15,33.93125654,-118.2324199
Parks,Eagle Rock Hillside Park,,,,N. of Ventura Freeway,,,,,,S. of Valle Vista,,,"Los Angeles, CA 90041
(34.149, -118.202)",CA,90041,http://www.laparks.org/dos/parks/facility/eagleRockHillsidePk.htm,(213) 485-5054,14,34.149007,-118.202226
Parks,Griffith Park - Shane's Inspiration Park,4730,,,Crystal Springs,Dr,,,,,,,,"Los Angeles, CA 90027
(34.1351, -118.285)",CA,90027,http://www.laparks.org/dos/playground/facility/griffithUAPk.htm,(323) 913-4688,4,34.135083,-118.284647
Parks,Seily Rodriguez Park,5707,,,Lexington,Ave,,,,,,,,"Los Angeles, CA 90038
(34.0929, -118.314)",CA,90038,http://www.laparks.org/dos/parks/facility/seilyRodriguezPk.htm,(213) 847-3601,13,34.092917,-118.313975
Parks,Elysian Park -  Avenue of the Palms,,,,Stadium,Way,,,,,,,,"Los Angeles, CA 90012
(34.0795, -118.249)",CA,90012,,(213) 485-5054,13,34.079493,-118.249133
Parks,Watts Community Park,11300,,S,Monitor,,,,,,,,,"Los Angeles, CA 90059
(33.932, -118.24)",CA,90059,,(310) 548-7675,15,33.932023,-118.240098
Parks,Julian C. Dixon Ave. Park / 48th Street Park,4800,,S,Hoover,St,,,,,,,,"Los Angeles, CA 90037
(33.9994, -118.287)",CA,90037,http://www.laparks.org/dos/parks/facility/48thStreetPk.htm,(323) 233-4772,9,33.99941769,-118.2869822
